#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
105000,-96588.21659039136,310.3418625282467,68.72988113831366,--
110000,-97422.86559246655,308.8781445029897,68.72988113831366,319
115000,-96892.68462322827,315.14143353228604,68.72988113831366,295
120000,-97370.79094647046,311.95006321884114,68.72988113831366,299
125000,-97302.62509869214,310.4805687933356,68.72988113831366,304
130000,-96662.40648602124,310.0503904578412,68.72988113831366,273
135000,-97058.2465128767,306.28123480129165,68.72988113831366,270
140000,-96990.74974773999,306.164217284306,68.72988113831366,266
145000,-96749.06035565014,306.55599527349364,68.72988113831366,253
150000,-96924.4571757185,303.5358098529504,68.72988113831366,254
