#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
105000,-98408.4807302191,307.71094835716065,68.72988113831366,--
110000,-98226.75728051207,312.4031655075233,68.72988113831366,211
115000,-97891.96397606871,308.94942310228373,68.72988113831366,236
120000,-98073.12983910582,315.5889773980875,68.72988113831366,251
125000,-98527.10579125426,315.524274449391,68.72988113831366,256
130000,-98253.54347435973,309.4968369321316,68.72988113831366,261
135000,-98225.96425072692,311.76383788755624,68.72988113831366,263
140000,-98672.86799828551,307.44530660484793,68.72988113831366,253
145000,-98356.67350976012,311.76169444343884,68.72988113831366,252
150000,-98298.79939476989,306.36137781354574,68.72988113831366,252
